Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
campagnolo-record-cassette-12s-11-29,Campagnolo Record 12s Kassette 11-29,<p><strong>Kompatibilität:</strong> Alle Räder mit Campagnolo Super Record WRL (12-fach)</p><ul><li>Schaltgruppe: Campagnolo SR WRL</li><li>Gang: 12-fach</li></ul>,Campagnolo,,Kassette,"vm-kat-kassette, colnago-c68-disc-campagnolo-sr-wrl, colnago-v3rs-campagnolo-sr-eps, colnago-v5rs-campagnolo-sr-wrl, colnago-y1rs-campagnolo-sr-wrl, factor-o2-vam-campagnolo-sr-wrl-custom, factor-ostro-vam-campagnolo-sr-wrl-custom, look-795-blade-rs-campagnolo-sr-13s-wrl, pinarello-dogma-x-campagnolo-sr-wrl",TRUE,Title,Default Title,VM-CAMPREC12S,0,shopify,99,continue,manual,179.99,,TRUE,TRUE,active
campagnolo-qck-tech-t47-bb,Campagnolo QCK-Tech T47 Innenlager,"<p><strong>Kompatibilität:</strong> Colnago Y1Rs/C68/V3Rs, Factor, Look (T47) mit Campagnolo</p><ul><li>Schaltgruppe: Campagnolo</li><li>Standard: T47</li></ul>",Campagnolo,,Innenlager,"vm-kat-innenlager, colnago-c68-disc-campagnolo-sr-wrl, colnago-v3rs-campagnolo-sr-eps, colnago-y1rs-campagnolo-sr-wrl, factor-o2-vam-campagnolo-sr-wrl-custom, factor-ostro-vam-campagnolo-sr-wrl-custom, look-795-blade-rs-campagnolo-sr-13s-wrl",TRUE,Title,Default Title,VM-CAMPQCKT47,0,shopify,99,continue,manual,89.99,,TRUE,TRUE,active
campagnolo-italian-thread-bb,Campagnolo Ultra-Torque Italian Thread Innenlager,<p><strong>Kompatibilität:</strong> Pinarello Dogma X mit Campagnolo (Italian Thread)</p><ul><li>Schaltgruppe: Campagnolo</li><li>Standard: Italian Thread</li></ul>,Campagnolo,,Innenlager,"vm-kat-innenlager, pinarello-dogma-x-campagnolo-sr-wrl",TRUE,Title,Default Title,VM-CAMPITABB,0,shopify,99,continue,manual,79.99,,TRUE,TRUE,active
campagnolo-bsa-bb,Campagnolo BSA Innenlager 68mm,<p><strong>Kompatibilität:</strong> Colnago V5Rs mit Campagnolo (BSA)</p><ul><li>Schaltgruppe: Campagnolo</li><li>Standard: BSA 68mm</li></ul>,Campagnolo,,Innenlager,"vm-kat-innenlager, colnago-v5rs-campagnolo-sr-wrl",TRUE,Title,Default Title,VM-CAMPBSABB,0,shopify,99,continue,manual,79.99,,TRUE,TRUE,active
campagnolo-sr-wrl-crankset-172-5mm,"Campagnolo Super Record WRL Kurbel 172,5mm",<p><strong>Kompatibilität:</strong> Alle Räder mit Campagnolo Super Record WRL</p><ul><li>Schaltgruppe: SR WRL</li><li>Gang: 12-fach</li></ul>,Campagnolo,,Kurbelgarnitur,"vm-kat-kurbelgarnitur, colnago-c68-disc-campagnolo-sr-wrl, colnago-v3rs-campagnolo-sr-eps, colnago-v5rs-campagnolo-sr-wrl, colnago-y1rs-campagnolo-sr-wrl, factor-o2-vam-campagnolo-sr-wrl-custom, factor-ostro-vam-campagnolo-sr-wrl-custom, look-795-blade-rs-campagnolo-sr-13s-wrl, pinarello-dogma-x-campagnolo-sr-wrl",TRUE,Title,Default Title,VM-CAMPSRWRLKURB,0,shopify,99,continue,manual,749.99,,TRUE,TRUE,active
campagnolo-sr-wrl-rear-derailleur,Campagnolo Super Record WRL Schaltwerk,<p><strong>Kompatibilität:</strong> Alle Räder mit Campagnolo Super Record WRL</p><ul><li>Schaltgruppe: SR WRL</li><li>Gang: 12-fach</li></ul>,Campagnolo,,Schaltwerk,"vm-kat-schaltwerk, colnago-c68-disc-campagnolo-sr-wrl, colnago-v3rs-campagnolo-sr-eps, colnago-v5rs-campagnolo-sr-wrl, colnago-y1rs-campagnolo-sr-wrl, factor-o2-vam-campagnolo-sr-wrl-custom, factor-ostro-vam-campagnolo-sr-wrl-custom, look-795-blade-rs-campagnolo-sr-13s-wrl, pinarello-dogma-x-campagnolo-sr-wrl",TRUE,Title,Default Title,VM-CAMPSRWRLRD,0,shopify,99,continue,manual,499.99,,TRUE,TRUE,active
campagnolo-sr-wrl-front-derailleur,Campagnolo Super Record WRL Umwerfer,<p><strong>Kompatibilität:</strong> Alle Räder mit Campagnolo Super Record WRL</p><ul><li>Schaltgruppe: SR WRL</li><li>Gang: 12-fach</li></ul>,Campagnolo,,Umwerfer,"vm-kat-umwerfer, colnago-c68-disc-campagnolo-sr-wrl, colnago-v3rs-campagnolo-sr-eps, colnago-v5rs-campagnolo-sr-wrl, colnago-y1rs-campagnolo-sr-wrl, factor-o2-vam-campagnolo-sr-wrl-custom, factor-ostro-vam-campagnolo-sr-wrl-custom, look-795-blade-rs-campagnolo-sr-13s-wrl, pinarello-dogma-x-campagnolo-sr-wrl",TRUE,Title,Default Title,VM-CAMPSRWRLFD,0,shopify,99,continue,manual,299.99,,TRUE,TRUE,active
campagnolo-sr-wrl-ergopower,Campagnolo Super Record WRL Ergopower (Paar),<p><strong>Kompatibilität:</strong> Alle Räder mit Campagnolo Super Record WRL</p><ul><li>Schaltgruppe: SR WRL</li><li>Gang: 12-fach</li><li>Bremssystem: Hydraulisch</li></ul>,Campagnolo,,Schalthebel,"vm-kat-schalthebel, colnago-c68-disc-campagnolo-sr-wrl, colnago-v3rs-campagnolo-sr-eps, colnago-v5rs-campagnolo-sr-wrl, colnago-y1rs-campagnolo-sr-wrl, factor-o2-vam-campagnolo-sr-wrl-custom, factor-ostro-vam-campagnolo-sr-wrl-custom, look-795-blade-rs-campagnolo-sr-13s-wrl, pinarello-dogma-x-campagnolo-sr-wrl",TRUE,Title,Default Title,VM-CAMPSRWRLERGO,0,shopify,99,continue,manual,849.99,,TRUE,TRUE,active
