Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
ceramicspeed-pf86-bb86-shimano-24mm,CeramicSpeed PF86/BB86 Shimano 24mm,"<p><strong>Kompatibilität:</strong> Canyon, Cube, Rose (BB86/PF86) mit Shimano</p><ul><li>Keramikkugellager</li><li>Schaltgruppen-Hersteller: Shimano</li><li>Innenlager-Standard: PF86/BB86</li></ul>",CeramicSpeed,,Innenlager,"vm-kat-innenlager, canyon-aeroad-cf-slx-7-di2, canyon-aeroad-cf-slx-8-di2, canyon-aeroad-cf-slx-8-disc-di2, canyon-aeroad-cfr-di2, canyon-aeroad-cfr-mach874, canyon-endurace-cf-8-di2, canyon-endurace-cf-sl-7-di2, canyon-endurace-cf-sl-8-di2, canyon-endurace-cf-slx-8-di2-aero, canyon-endurace-cfr-di2, canyon-ultimate-cf-7, canyon-ultimate-cf-sl-7-di2, canyon-ultimate-cf-sl-8-di2, canyon-ultimate-cf-slx-8-di2, canyon-ultimate-cfr-di2, cube-agree-c62-one, cube-agree-c62-pro, cube-agree-c62-race, cube-agree-c62-slt, cube-attain-c62-race, cube-attain-c62-slt, cube-attain-c62-slx, cube-litening-aero-c68x-race, cube-litening-aero-c68x-slt, cube-litening-air-c68x-race, cube-litening-air-c68x-slt, rose-reveal-04-105-di2, rose-reveal-06-ultegra-di2, rose-shave-105-di2, rose-shave-ff-ultegra-di2, rose-shave-ffx-dura-ace-di2, rose-shave-ultegra-di2, rose-xlite-04-105-mech, rose-xlite-04-ultegra-di2, rose-xlite-06-dura-ace-di2, rose-xlite-06-ultegra-di2, rose-xlite-unltd-dura-ace-di2, scott-addict-20-ultegra-di2, scott-addict-40-105-di2, scott-addict-50-105-mech, scott-addict-rc-10-ultegra-di2, scott-addict-rc-20-105-di2, scott-addict-rc-ultimate-ultegra-di2, scott-foil-rc-10-ultegra-di2, scott-foil-rc-20-105-di2, scott-speedster-10-105-di2, scott-speedster-20-tiagra",TRUE,Title,Default Title,VM-CSPF86SHI,0,shopify,99,continue,manual,109.99,,TRUE,TRUE,active
token-ninja-bb86-shimano-24mm,Token Ninja BB86 Shimano 24mm,"<p><strong>Kompatibilität:</strong> Canyon, Cube, Rose (BB86/PF86) mit Shimano</p><ul><li>Schaltgruppen-Hersteller: Shimano</li><li>Innenlager-Standard: BB86</li></ul>",Token,,Innenlager,"vm-kat-innenlager, canyon-aeroad-cf-slx-7-di2, canyon-aeroad-cf-slx-8-di2, canyon-aeroad-cf-slx-8-disc-di2, canyon-aeroad-cfr-di2, canyon-aeroad-cfr-mach874, canyon-endurace-cf-8-di2, canyon-endurace-cf-sl-7-di2, canyon-endurace-cf-sl-8-di2, canyon-endurace-cf-slx-8-di2-aero, canyon-endurace-cfr-di2, canyon-ultimate-cf-7, canyon-ultimate-cf-sl-7-di2, canyon-ultimate-cf-sl-8-di2, canyon-ultimate-cf-slx-8-di2, canyon-ultimate-cfr-di2, cube-agree-c62-one, cube-agree-c62-pro, cube-agree-c62-race, cube-agree-c62-slt, cube-attain-c62-race, cube-attain-c62-slt, cube-attain-c62-slx, cube-litening-aero-c68x-race, cube-litening-aero-c68x-slt, cube-litening-air-c68x-race, cube-litening-air-c68x-slt, rose-reveal-04-105-di2, rose-reveal-06-ultegra-di2, rose-shave-105-di2, rose-shave-ff-ultegra-di2, rose-shave-ffx-dura-ace-di2, rose-shave-ultegra-di2, rose-xlite-04-105-mech, rose-xlite-04-ultegra-di2, rose-xlite-06-dura-ace-di2, rose-xlite-06-ultegra-di2, rose-xlite-unltd-dura-ace-di2, scott-addict-20-ultegra-di2, scott-addict-40-105-di2, scott-addict-50-105-mech, scott-addict-rc-10-ultegra-di2, scott-addict-rc-20-105-di2, scott-addict-rc-ultimate-ultegra-di2, scott-foil-rc-10-ultegra-di2, scott-foil-rc-20-105-di2, scott-speedster-10-105-di2, scott-speedster-20-tiagra",TRUE,Title,Default Title,VM-TKNBB86SHI,0,shopify,99,continue,manual,54.99,,TRUE,TRUE,active
ceramicspeed-pf86-sram-dub,CeramicSpeed PF86/BB86 SRAM DUB,"<p><strong>Kompatibilität:</strong> Canyon, Cube, Rose (BB86/PF86) mit SRAM</p><ul><li>Keramikkugellager</li><li>Schaltgruppen-Hersteller: SRAM DUB</li><li>Innenlager-Standard: PF86/BB86</li></ul>",CeramicSpeed,,Innenlager,"vm-kat-innenlager, canyon-aeroad-cf-slx-7-axs-speed, canyon-aeroad-cf-slx-8-axs, canyon-aeroad-cf-slx-8-axs-speed, canyon-aeroad-cfr-axs, canyon-endurace-cf-slx-8-axs-aero, canyon-endurace-cfr-axs, canyon-ultimate-cf-slx-8-axs, canyon-ultimate-cfr-etap, cube-agree-c62-slx, cube-litening-aero-c68x-pro, cube-litening-aero-c68x-slt, cube-litening-aero-c68x-slx, cube-litening-air-c68x-pro, cube-litening-air-c68x-slx, rose-reveal-04-rival-axs, rose-shave-ff-force-axs, rose-shave-ffx-red-axs, rose-shave-force-axs, rose-shave-rival-axs, rose-xlite-04-force-etap-axs, rose-xlite-06-force-etap-axs, rose-xlite-06-red-etap-axs",TRUE,Title,Default Title,VM-CSPF86SRAM,0,shopify,99,continue,manual,119.99,,TRUE,TRUE,active
ceramicspeed-italian-thread-shimano-24mm,CeramicSpeed Italian Thread Shimano 24mm,"<p><strong>Kompatibilität:</strong> Pinarello (alle Modelle), Colnago (Italian Thread) mit Shimano</p><ul><li>Keramikkugellager</li><li>Schaltgruppen-Hersteller: Shimano</li><li>Innenlager-Standard: Italian Thread</li></ul>",CeramicSpeed,,Innenlager,"vm-kat-innenlager, pinarello-dogma-f-dura-ace-di2, pinarello-dogma-f-dura-ace-di2-powermeter, pinarello-dogma-x-dura-ace-di2, pinarello-f1-105-mechanisch, pinarello-f3-105-di2, pinarello-f5-105-di2, pinarello-f7-ultegra-di2, pinarello-f9-dura-ace-di2, pinarello-new-f5-105-di2, pinarello-new-f7-ultegra-di2, pinarello-new-f9-dura-ace-di2, pinarello-paris-105-di2, pinarello-prince-ultegra-di2, pinarello-x1-105-mechanisch, pinarello-x3-105-di2, pinarello-x5-105-di2, pinarello-x7-ultegra-di2, pinarello-x9-dura-ace-di2",TRUE,Title,Default Title,VM-CSITASHI,0,shopify,99,continue,manual,119.99,,TRUE,TRUE,active
token-italian-thread-shimano-24mm,Token Italian Thread Shimano 24mm,"<p><strong>Kompatibilität:</strong> Pinarello (alle Modelle), Colnago (Italian Thread) mit Shimano</p><ul><li>Schaltgruppen-Hersteller: Shimano</li><li>Innenlager-Standard: Italian Thread</li></ul>",Token,,Innenlager,"vm-kat-innenlager, pinarello-dogma-f-dura-ace-di2, pinarello-dogma-f-dura-ace-di2-powermeter, pinarello-dogma-x-dura-ace-di2, pinarello-f1-105-mechanisch, pinarello-f3-105-di2, pinarello-f5-105-di2, pinarello-f7-ultegra-di2, pinarello-f9-dura-ace-di2, pinarello-new-f5-105-di2, pinarello-new-f7-ultegra-di2, pinarello-new-f9-dura-ace-di2, pinarello-paris-105-di2, pinarello-prince-ultegra-di2, pinarello-x1-105-mechanisch, pinarello-x3-105-di2, pinarello-x5-105-di2, pinarello-x7-ultegra-di2, pinarello-x9-dura-ace-di2",TRUE,Title,Default Title,VM-TKNITASHI,0,shopify,99,continue,manual,54.99,,TRUE,TRUE,active
ceramicspeed-t47-shimano-24mm,CeramicSpeed T47 Shimano 24mm,"<p><strong>Kompatibilität:</strong> Look, Trek, Factor, Colnago V4Rs/V5Rs (T47) mit Shimano</p><ul><li>Keramikkugellager</li><li>Schaltgruppen-Hersteller: Shimano</li><li>Innenlager-Standard: T47</li></ul>",CeramicSpeed,,Innenlager,"vm-kat-innenlager, canyon-aeroad-cf-slx-7-di2, canyon-aeroad-cf-slx-8-di2, canyon-aeroad-cf-slx-8-disc-di2, canyon-aeroad-cfr-di2, canyon-aeroad-cfr-mach874, canyon-endurace-cf-8-di2, canyon-endurace-cf-sl-7-di2, canyon-endurace-cf-sl-8-di2, canyon-endurace-cf-slx-8-di2-aero, canyon-endurace-cfr-di2, canyon-ultimate-cf-7, canyon-ultimate-cf-sl-7-di2, canyon-ultimate-cf-sl-8-di2, canyon-ultimate-cf-slx-8-di2, canyon-ultimate-cfr-di2, colnago-c68-disc-dura-ace-di2, colnago-v3rs-dura-ace-di2, colnago-v4-105-di2, colnago-v4-ultegra-di2, colnago-v4rs-dura-ace-di2, colnago-v4rs-ultegra-di2, colnago-y1rs-dura-ace-di2, cube-agree-c62-one, cube-agree-c62-pro, cube-agree-c62-race, cube-agree-c62-slt, cube-attain-c62-race, cube-attain-c62-slt, cube-attain-c62-slx, cube-litening-aero-c68x-race, cube-litening-aero-c68x-slt, cube-litening-air-c68x-race, cube-litening-air-c68x-slt, factor-o2-vam-da-di2-custom-build, factor-ostro-vam-da-di2-custom-build, factor-slick-da-di2-custom-build, look-765-optimum-105-di2, look-765-optimum-105-mechanisch, look-765-optimum-ultegra-di2, look-785-huez-105-di2, look-785-huez-105-mechanisch, look-785-huez-rs-disc-ultegra-di2, look-785-huez-ultegra-di2-pro-team-black, look-795-blade-rs-da-di2, look-795-blade-rs-ultegra-di2, rose-reveal-04-105-di2, rose-reveal-06-ultegra-di2, rose-shave-105-di2, rose-shave-ff-ultegra-di2, rose-shave-ffx-dura-ace-di2, rose-shave-ultegra-di2, rose-xlite-04-105-mech, rose-xlite-04-ultegra-di2, rose-xlite-06-dura-ace-di2, rose-xlite-06-ultegra-di2, rose-xlite-unltd-dura-ace-di2, scott-addict-20-ultegra-di2, scott-addict-40-105-di2, scott-addict-50-105-mech, scott-addict-rc-10-ultegra-di2, scott-addict-rc-20-105-di2, scott-addict-rc-ultimate-ultegra-di2, scott-foil-rc-10-ultegra-di2, scott-foil-rc-20-105-di2, scott-speedster-10-105-di2, scott-speedster-20-tiagra, trek-domane-sl-5, trek-domane-sl-5-mech, trek-domane-sl-6-di2, trek-domane-slr-7-di2, trek-emonda-slr-7-di2, trek-madone-sl-5, trek-madone-sl-6-di2, trek-madone-slr-6-di2, trek-madone-slr-7-di2, trek-madone-slr-9-di2",TRUE,Title,Default Title,VM-CST47SHI,0,shopify,99,continue,manual,129.99,,TRUE,TRUE,active
praxis-t47-shimano-24mm,Praxis T47 Shimano 24mm,"<p><strong>Kompatibilität:</strong> Look, Trek, Factor, Colnago V4Rs/V5Rs (T47) mit Shimano</p><ul><li>Schaltgruppen-Hersteller: Shimano</li><li>Innenlager-Standard: T47</li></ul>",Praxis,,Innenlager,"vm-kat-innenlager, canyon-aeroad-cf-slx-7-di2, canyon-aeroad-cf-slx-8-di2, canyon-aeroad-cf-slx-8-disc-di2, canyon-aeroad-cfr-di2, canyon-aeroad-cfr-mach874, canyon-endurace-cf-8-di2, canyon-endurace-cf-sl-7-di2, canyon-endurace-cf-sl-8-di2, canyon-endurace-cf-slx-8-di2-aero, canyon-endurace-cfr-di2, canyon-ultimate-cf-7, canyon-ultimate-cf-sl-7-di2, canyon-ultimate-cf-sl-8-di2, canyon-ultimate-cf-slx-8-di2, canyon-ultimate-cfr-di2, colnago-c68-disc-dura-ace-di2, colnago-v3rs-dura-ace-di2, colnago-v4-105-di2, colnago-v4-ultegra-di2, colnago-v4rs-dura-ace-di2, colnago-v4rs-ultegra-di2, colnago-y1rs-dura-ace-di2, cube-agree-c62-one, cube-agree-c62-pro, cube-agree-c62-race, cube-agree-c62-slt, cube-attain-c62-race, cube-attain-c62-slt, cube-attain-c62-slx, cube-litening-aero-c68x-race, cube-litening-aero-c68x-slt, cube-litening-air-c68x-race, cube-litening-air-c68x-slt, factor-o2-vam-da-di2-custom-build, factor-ostro-vam-da-di2-custom-build, factor-slick-da-di2-custom-build, look-765-optimum-105-di2, look-765-optimum-105-mechanisch, look-765-optimum-ultegra-di2, look-785-huez-105-di2, look-785-huez-105-mechanisch, look-785-huez-rs-disc-ultegra-di2, look-785-huez-ultegra-di2-pro-team-black, look-795-blade-rs-da-di2, look-795-blade-rs-ultegra-di2, rose-reveal-04-105-di2, rose-reveal-06-ultegra-di2, rose-shave-105-di2, rose-shave-ff-ultegra-di2, rose-shave-ffx-dura-ace-di2, rose-shave-ultegra-di2, rose-xlite-04-105-mech, rose-xlite-04-ultegra-di2, rose-xlite-06-dura-ace-di2, rose-xlite-06-ultegra-di2, rose-xlite-unltd-dura-ace-di2, scott-addict-20-ultegra-di2, scott-addict-40-105-di2, scott-addict-50-105-mech, scott-addict-rc-10-ultegra-di2, scott-addict-rc-20-105-di2, scott-addict-rc-ultimate-ultegra-di2, scott-foil-rc-10-ultegra-di2, scott-foil-rc-20-105-di2, scott-speedster-10-105-di2, scott-speedster-20-tiagra, trek-domane-sl-5, trek-domane-sl-5-mech, trek-domane-sl-6-di2, trek-domane-slr-7-di2, trek-emonda-slr-7-di2, trek-madone-sl-5, trek-madone-sl-6-di2, trek-madone-slr-6-di2, trek-madone-slr-7-di2, trek-madone-slr-9-di2",TRUE,Title,Default Title,VM-PRAXT47SHI,0,shopify,99,continue,manual,44.99,,TRUE,TRUE,active
sram-dub-italian-thread-road,SRAM DUB Italian Thread Road,"<p><strong>Kompatibilität:</strong> Pinarello, Colnago, Factor, Look (Italian Thread) mit SRAM</p><ul><li>Schaltgruppen-Hersteller: SRAM DUB</li><li>Innenlager-Standard: Italian Thread</li></ul>",SRAM,,Innenlager,"vm-kat-innenlager, colnago-v3rs-sram-red-axs, colnago-v4-sram-rival-axs, colnago-v4rs-sram-red-axs, colnago-y1rs-sram-red-axs, factor-o2-vam-red-axs-custom-build, factor-ostro-vam-red-axs-custom-build, look-765-optimum-rival-axs, look-785-huez-rival-axs-e1, look-785-huez-rs-red-axs, look-795-blade-rs-red-axs, trek-domane-sl-7-axs, trek-domane-slr-9-axs, trek-emonda-slr-9-axs, trek-madone-sl-7-axs, trek-madone-slr-7-axs, trek-madone-slr-9-red-axs",TRUE,Title,Default Title,VM-SRAMDUBITALI,0,shopify,99,continue,manual,49.99,,TRUE,TRUE,active
